branch_id,customer_id,loan_id,loan_amount,first_name,last_name,city,phone_number,occupation,dob,branch_name,branch_state
B00025,C00001,L00218,7799194,Timothy,Nelson,Davidville,1592081539,Magician,1915-09-03,LA00024,Louisiana
B00011,C00002,L00345,8190077,Courtney,Farley,Port Charlesberg,9356145501,Scientist,1922-05-11,NC00010,North Carolina
B00023,C00003,L00026,4600503,Sheena,Solis,New John,4311466522,Businessman,1933-10-27,UT00022,Utah
B00004,C00013,L00169,4757387,Michael,Clark,East Maxwell,582686100,Architect,1960-11-07,MO00003,Missouri
B00008,C00015,L00329,3238810,Wayne,Daugherty,North Morgan,1742353832,Police officer,1961-07-01,ME00007,Maine
B00042,C00016,L00151,2483094,Sharon,Gutierrez,South Joanneland,3990712774,Repairman,1994-05-10,WY00041,Wyoming
B00007,C00017,L00451,3966487,Jennifer,Vasquez,South Erin,5394311250,Painter,1983-06-02,NY00006,New York
B00039,C00018,L00183,3819251,Howard,Lopez,East Renee,7738800649,Photographer,1939-04-01,CO00038,Colorado
B00048,C00020,L00412,7583436,Colin,Andrews,Nguyenborough,513207155,Paramedic,1935-07-19,DE00047,Delaware
B00034,C00021,L00156,4182701,Michael,Barnett,Davisport,2663819972,Pilot,1985-04-14,IA00033,Iowa
B00010,C00022,L00465,4513842,Bonnie,Reynolds,Espinozahaven,3118043227,Soldier,2003-06-25,PA00009,Pennsylvania
B00010,C00028,L00478,1116682,Cynthia,Hobbs,Theodoreville,8022006537,Doorman,1944-04-10,PA00009,Pennsylvania
B00033,C00029,L00115,5730149,Laurie,Bonilla,Whitneychester,3168277850,Diver,1921-10-11,TX00032,Texas
B00006,C00031,L00138,50973,Robert,Reed,North Kelly,9938164073,Boxer,1998-07-01,ME00005,Maine
B00046,C00032,L00007,194330,Brandon,Austin,Gregoryhaven,7090917820,Geisha,1957-08-09,NV00045,Nevada
B00037,C00033,L00182,7316061,Allison,Knight,Travisborough,5118215456,Professor,1970-06-02,WI00036,Wisconsin
B00014,C00034,L00157,1237414,Gwendolyn,Martin,Morrisonmouth,6420667673,Geisha,1978-03-01,AL00013,Alabama
B00029,C00037,L00247,3239250,Tammy,Estrada,Abigailfort,7701386275,Journalist,1939-03-14,MN00028,Minnesota
B00015,C00038,L00402,8859429,Jessica,Martinez,West Anthony,1939995251,Surgeon,1982-11-07,MD00014,Maryland
B00030,C00043,L00248,6250269,Justin,Anderson,South Johnathanstad,8609339016,Scientist,1975-03-04,HI00029,Hawaii
B00021,C00044,L00380,9835708,Nicole,Wood,West Amyfort,2060061072,Singer,1930-12-24,WI00020,Wisconsin
B00003,C00045,L00271,380134,Benjamin,Jones,West Benjamin,2781002995,Pirate,1927-08-22,CT00002,Connecticut
B00019,C00046,L00173,3458325,Daniel,Fox,West Adam,2606968604,Priest,1933-11-19,NM00018,New Mexico
B00023,C00047,L00347,6242047,Jeremiah,Johnson,New Heather,5663595216,Gardener,2002-01-14,UT00022,Utah
B00010,C00049,L00051,8188634,Jillian,Thornton,Frankfurt,7951077572,Police officer,1919-09-08,PA00009,Pennsylvania
B00039,C00050,L00383,8906264,Joshua,Soto,East Bruce,481719479,American football player,1984-04-02,CO00038,Colorado
B00023,C00051,L00087,9699074,Eric,Jones,Port Phyllisland,2023342359,American football player,1976-10-02,UT00022,Utah
B00009,C00052,L00049,5270078,Emily,Holland,Taylorville,3710651540,Doorman,1977-09-03,IA00008,Iowa
B00036,C00057,L00047,3502629,Megan,Carter,East Stephen,4377380822,Electrician,1912-09-18,IL00035,Illinois
B00040,C00061,L00012,8830159,Stephanie,Hall,Lake Christinefort,6240043672,Painter,1939-06-29,LA00039,Louisiana
B00036,C00064,L00155,605593,Monica,Bauer,New Andrewport,9689132773,Engineer,2000-11-12,IL00035,Illinois
B00027,C00065,L00024,7989923,Mark,Frank,Randyton,6420765259,Businessman,1917-01-15,VA00026,Virginia
B00040,C00067,L00261,9164780,Dana,Pitts,Kennethtown,4578763693,Housewife,1974-02-05,LA00039,Louisiana
B00031,C00068,L00010,6950491,Dennis,Anderson,Port Rachel,7605534273,Doctor,1982-10-08,NH00030,New Hampshire
B00030,C00070,L00257,4175936,Brandon,Rogers,Ponceland,3989065746,Magician,1964-04-22,HI00029,Hawaii
B00017,C00072,L00339,7778957,Louis,Villarreal,Kaitlynchester,553937739,Nurse,1972-01-16,SD00016,South Dakota
B00002,C00073,L00381,4817071,Stacy,Roth,Jacobville,7886666795,Librarian,1949-09-23,NE00001,Nebraska
B00037,C00074,L00121,1509258,Brittney,Hull,Port Deannafort,5277226024,Train conductor,1993-11-05,WI00036,Wisconsin
B00047,C00076,L00338,1963228,Taylor,Jefferson,South Kimberly,5276040886,Professor,1947-03-30,AZ00046,Arizona
B00036,C00077,L00449,3153242,Ashley,Rivera,Lake Erika,8333768974,American football player,1981-09-24,IL00035,Illinois
B00020,C00078,L00196,679675,Adam,Bowen,Matthewland,3510968113,Scientist,1921-09-18,NY00019,New York
B00005,C00081,L00236,710946,Cassandra,Anderson,Walshside,2108219051,Photographer,1973-12-20,NV00004,Nevada
B00019,C00084,L00117,6887339,John,Phillips,Jeremiahberg,9865603634,Journalist,1957-05-26,NM00018,New Mexico
B00025,C00085,L00177,1446592,Amy,Sanchez,Hillchester,3313438454,Repairman,2003-08-18,LA00024,Louisiana
B00007,C00086,L00184,7249491,Robert,Taylor,South Meganland,1861864423,Clown,1945-01-06,NY00006,New York
B00004,C00089,L00499,8191998,Justin,Rogers,South Christianmouth,9372755391,Builder,1936-11-25,MO00003,Missouri
B00047,C00092,L00061,4384952,Amanda,Coleman,North Johnmouth,550723277,Lunchroom supervisor,1967-08-07,AZ00046,Arizona
B00001,C00093,L00125,375700,Amanda,Martinez,Andrewburgh,7283060844,Professor,1979-08-12,ND00000,North Dakota
B00041,C00094,L00500,2769053,Brittany,Padilla,Johnmouth,8809642786,Pirate,1965-06-12,OR00040,Oregon
B00039,C00095,L00191,4728242,Nicholas,Chavez,Santiagoland,8707896169,American football player,1931-09-08,CO00038,Colorado
B00022,C00097,L00005,8802165,Matthew,Bush,Welchfurt,3637847712,Singer,1959-03-26,WA00021,Washington
