customer_id,loan_id,branch_id,loan_amount,first_name,last_name,city,phone_number,occupation,dob
C00001,L00218,B00025,7799194,Timothy,Nelson,Davidville,1592081539,Magician,1915-09-03
C00002,L00345,B00011,8190077,Courtney,Farley,Port Charlesberg,9356145501,Scientist,1922-05-11
C00003,L00026,B00023,4600503,Sheena,Solis,New John,4311466522,Businessman,1933-10-27
C00013,L00169,B00004,4757387,Michael,Clark,East Maxwell,582686100,Architect,1960-11-07
C00015,L00329,B00008,3238810,Wayne,Daugherty,North Morgan,1742353832,Police officer,1961-07-01
C00016,L00151,B00042,2483094,Sharon,Gutierrez,South Joanneland,3990712774,Repairman,1994-05-10
C00017,L00451,B00007,3966487,Jennifer,Vasquez,South Erin,5394311250,Painter,1983-06-02
C00018,L00183,B00039,3819251,Howard,Lopez,East Renee,7738800649,Photographer,1939-04-01
C00020,L00412,B00048,7583436,Colin,Andrews,Nguyenborough,513207155,Paramedic,1935-07-19
C00021,L00156,B00034,4182701,Michael,Barnett,Davisport,2663819972,Pilot,1985-04-14
C00022,L00465,B00010,4513842,Bonnie,Reynolds,Espinozahaven,3118043227,Soldier,2003-06-25
C00028,L00478,B00010,1116682,Cynthia,Hobbs,Theodoreville,8022006537,Doorman,1944-04-10
C00029,L00115,B00033,5730149,Laurie,Bonilla,Whitneychester,3168277850,Diver,1921-10-11
C00031,L00138,B00006,50973,Robert,Reed,North Kelly,9938164073,Boxer,1998-07-01
C00032,L00007,B00046,194330,Brandon,Austin,Gregoryhaven,7090917820,Geisha,1957-08-09
C00033,L00182,B00037,7316061,Allison,Knight,Travisborough,5118215456,Professor,1970-06-02
C00034,L00157,B00014,1237414,Gwendolyn,Martin,Morrisonmouth,6420667673,Geisha,1978-03-01
C00037,L00247,B00029,3239250,Tammy,Estrada,Abigailfort,7701386275,Journalist,1939-03-14
C00038,L00402,B00015,8859429,Jessica,Martinez,West Anthony,1939995251,Surgeon,1982-11-07
C00043,L00248,B00030,6250269,Justin,Anderson,South Johnathanstad,8609339016,Scientist,1975-03-04
C00044,L00380,B00021,9835708,Nicole,Wood,West Amyfort,2060061072,Singer,1930-12-24
C00045,L00271,B00003,380134,Benjamin,Jones,West Benjamin,2781002995,Pirate,1927-08-22
C00046,L00173,B00019,3458325,Daniel,Fox,West Adam,2606968604,Priest,1933-11-19
C00047,L00347,B00023,6242047,Jeremiah,Johnson,New Heather,5663595216,Gardener,2002-01-14
C00049,L00051,B00010,8188634,Jillian,Thornton,Frankfurt,7951077572,Police officer,1919-09-08
